stock_id,stock_name,industry_category,market_type
5903,全家,貿易百貨,
2712,遠雄來,觀光事業,
6741,91APP*-KY,電子商務業,
6728,上洋,貿易百貨,
2707,晶華,觀光事業,
5701,劍湖山,觀光事業,
2729,瓦城,觀光事業,
8941,關中,貿易百貨,
5904,寶雅,貿易百貨,
2701,萬企,觀光事業,
2702,華園,觀光事業,
2704,國賓,觀光事業,
5706,鳳凰,觀光事業,
2706,第一店,觀光事業,
8940,新天地,觀光事業,
2705,六福,觀光事業,
5704,老爺知,觀光事業,
2731,雄獅,觀光事業,
5703,亞都,觀光事業,
2732,六角,觀光事業,
5902,德記,貿易百貨,
2739,寒舍,觀光事業,
2740,天蔥,觀光事業,
5905,南仁湖,貿易百貨,
2724,富驛-KY,觀光事業,
8044,網家,電子商務業,
2723,美食-KY,觀光事業,
2718,晶悅,觀光事業,
2736,富野,觀光事業,
2727,王品,觀光事業,
2743,山富,觀光事業,
2745,五福,觀光事業,
2748,雲品,觀光事業,
2722,夏都,觀光事業,
2734,易飛網,觀光事業,
2726,雅茗-KY,觀光事業,
2062,橋椿,其他,
9910,豐泰,其他,
9934,成霖,其他,
3557,嘉威,其他,
9911,櫻花,其他,
8473,山林水,其他,
6165,浪凡,其他,
8462,柏文,觀光餐旅,
8422,可寧衛,其他,
5306,桂盟,其他,
9914,美利達,其他,
8467,波力-KY,其他,
9921,巨大,其他,
9955,佳龍,其他,
9924,福興,其他,
1598,岱宇,化學生技醫療,
1598,岱宇,生技醫療業,
9904,寶成,其他,
8438,昶昕,其他,
9930,中聯資源,其他,
8464,億豐,其他,
9935,慶豐富,其他,
4536,拓凱,其他,
9802,鈺齊-KY,其他,
8478,東哥遊艇,其他,
1472,三洋實業,紡織纖維,
6689,伊雲谷,其他電子業,
3708,上緯投控,化學工業,
3708,上緯投控,化學生技醫療,
6671,三能-KY,其他,
6768,志強-KY,其他,
6670,復盛應用,其他,
6641,基士德-KY,其他,
6754,匯僑設計,其他,
6581,鋼聯,其他,
3054,立萬利,半導體業,
3054,立萬利,電子工業,
6807,峰源-KY,其他,
1736,喬山,生技醫療業,
6806,森崴能源,其他,
1736,喬山,化學生技醫療,
2442,新美齊,電腦及週邊設備業,
6689,伊雲谷,電子工業,
2424,隴華,電腦及週邊設備業,
2442,新美齊,電子工業,
8454,富邦媒,貿易百貨,
3130,一零四,電子工業,
3130,一零四,資訊服務業,
1432,大魯閣,貿易百貨,
8341,日友,其他,
1439,雋揚,紡織纖維,
8482,商億-KY,其他,
8087,華鎂鑫,光電業,
8420,明揚,其他,
3551,世禾,其他電子類,
6803,崑鼎,其他,
6690,安碁資訊,資訊服務業,
8440,綠電,其他,
8171,天宇,通信網路業,
6629,泰金-KY,其他,
6616,特昇-KY,其他,
6804,明係,其他,
2718,晶悅,觀光餐旅,
2640,大車隊,其他,
8390,金益鼎,其他,
6811,宏碁資訊,資訊服務業,
8423,保綠-KY,其他,
1593,祺驊,生技醫療業,
3073,天方能源,半導體業,
3178,公準,電機機械,
6624,萬年清,其他,
4154,樂威科-KY,生技醫療業,
6123,上奇,電腦及週邊設備業,
8924,大田,其他,
5205,中茂,其他電子類,
8938,明安,其他,
4702,中美實,化學工業,
4609,唐鋒,電器電纜,
3713,新晶投控,光電業,
8933,愛地雅,其他,
8928,鉅明,其他,
4530,宏易,電機機械,
8476,台境,其他,
8916A,光隆甲特,其他,
3089,億杰,電子零組件業,
4129A,聯合甲特,生技醫療業,
4944,兆遠,光電業,
5281,大峽谷-KY,光電業,
8476,台境,綠能環保類,
00744B,國泰中國政金債5+,上櫃指數股票型基金(ETF),
6404,通訊-KY,資訊服務業,
020024,兆豐富櫃200N,指數投資證券(ETN),
02002L,兆豐富櫃200正二N,指數投資證券(ETN),
6472,保瑞,生技醫療業,
4736,泰博,生技醫療業,
8418,捷必勝-KY,其他,
6446,藥華藥,生技醫療業,
4712,南璋,食品工業,
4578,總格精密,電機機械,
3627,華信科,光電業,
6914,阜爾運通,其他,
6562,聯亞藥,生技醫療業,
4949,有成精密,光電業,
1563,巧新,電機機械,
6953,家碩,半導體業,
6423,億而得,半導體業,
6928,攸泰科技,電腦及週邊設備業,
6771,平和環保,綠能環保,
6794,向榮生技,生技醫療業,
6881,潤德,其他,
5383,金利,其他電子類,
8091,翔名,電子零組件業,
6198,瑞築,半導體業,
3465,進泰電子,電子零組件業,
5432,新門,光電業,
4419,元勝,紡織纖維,
6865,偉康科技,資訊服務業,
6903,巨漢,其他電子業,
6952,大武山,農業科技,
6813,富動科,電腦及週邊設備業,
6637,醫影,生技醫療業,
6951,青新,綠能環保,
6617,共信-KY,生技醫療業,
020026,兆豐上櫃ESG電菁N,指數投資證券(ETN),
7751,竑騰,電子工業,
3150,鈺寶,半導體業,
00831B,新光美債1-3,上櫃指數股票型基金(ETF),
7584,樂意,文化創意業,
6999,瀚醫生技,化學生技醫療,
6838,台新藥,生技醫療業,
5233,有量,其他電子業,
6968,萬達寵物,居家生活,
6958,日盛台駿,其他,
8041,東元精電,電機機械,
6739,竹陞科技,其他電子業,
2751,王座,觀光餐旅,
4772,台特化,化學工業,
6967,汎瑋材料,電子零組件業,
6923,中台,綠能環保,
1294,漢田生技,食品工業,
6913,鴻呈,電子零組件業,
6919,康霈*,生技醫療業,
6514,芮特-KY,通信網路業,
00721B,元大中國債3-5,上櫃指數股票型基金(ETF),
8272,全景軟體,資訊服務業,
2646,星宇航空,航運業,
6997,博弘,數位雲端,
7708,全家餐飲,觀光餐旅,
7722,LINEPAY,數位雲端,
6996,力領科技,半導體業,
6982,大井泵浦,電機機械,
7705,三商餐飲,觀光餐旅,
7704,明遠精密,半導體業,
6885,全福生技,生技醫療業,
7712,博盛半導體,半導體業,
6720,久昌,半導體業,
8045,達運光電,通信網路業,
6955,邦睿生技,生技醫療業,
7703,銳澤,其他電子業,
8420,明揚,運動休閒類,
6869,雲豹能源,創新版股票,
6873,泓德能源,創新版股票,
6757,台灣虎航-創,創新版股票,
1230,聯成食,電器電纜,
1601,台光,電器電纜,
1523,開億,電機機械,
1716,永信,化學生技醫療,
4733,上緯,化學工業,
1311,福聚,塑膠工業,
1606,歌林,電器電纜,
4733,上緯,化學生技醫療,
2833A,台壽甲,金融保險,
911612,滬安,存託憑證,
2833,台壽保,金融保險,
2827,中聯,金融保險,
2837,萬泰銀,金融保險,
2807,竹商銀,金融保險,
2831,中華銀,金融保險,
911619,耀傑-DR,存託憑證,
8078,華寶,電子工業,
2463,研揚,電子工業,
2452,乾坤,電子零組件業,
2463,研揚,電腦及週邊設備業,
2891A,中信特,金融保險,
2452,乾坤,電子工業,
2469,力信,電子工業,
6645,金萬林-創,創新版股票,
8078,華寶,通信網路業,
2887C,新丙特,金融保險,
2883A,開發特,金融保險,
2854,寶來證,金融保險,
2447,鼎新,電子工業,
2847,大眾銀,金融保險,
6119,大傳,電子工業,
911616,杜康-DR,存託憑證,
2447,鼎新,資訊服務業,
2469,力信,電子零組件業,
6119,大傳,電子通路業,
910579,歐聖,存託憑證,
3697,F-晨星,半導體業,
911201,僑威控,存託憑證,
2526,大陸,建材營造,
9110,越南控-DR,存託憑證,
910948,融達,存託憑證,
1107,建台,其他,
6702,興航,航運業,
910069,新曄,存託憑證,
9101,福雷電,存託憑證,
9102,東亞科,存託憑證,
911602,華豐泰,存託憑證,
020022,元大電動車N,ETN,
910322,康師傅-DR,存託憑證,
9104,萬宇科,存託憑證,
910482,聖馬丁-DR,存託憑證,
9105,泰金寶-DR,存託憑證,
8008,建興電,電子工業,
8008,建興電,電腦及週邊設備業,
9106,新焦點-DR,存託憑證,
910708,恒大健-DR,存託憑證,
910801,金衛-DR,存託憑證,
9103,美德醫療-DR,存託憑證,
020008,元大特股高息N,ETN,
020007,凱基臺灣500N,ETN,
020006,永昌中小300N,ETN,
2473,思源,電子工業,
3697,F-晨星,電子工業,
911611,中泰山-DR,存託憑證,
911610,聯環,存託憑證,
3702A,大聯大甲特,電子通路業,
911609,揚子江,存託憑證,
911608,明輝-DR,存託憑證,
2479,和立,電子工業,
6012,金鼎證,金融保險,
6004,元京證,金融保險,
00729R,第一金工業30反1,ETF,
6794,向榮生技-創,創新版股票,
5854,合庫,金融保險,
2494,廣業科,通信網路業,
2494,廣業科,電子工業,
911606,超級,存託憑證,
2446,全懋,電子工業,
6771,平和環保-創,創新版股票,
020002,元富新中國N,ETN,
020004,兆豐電菁英30N,ETN,
020005,永豐外資50N,ETN,
2473,思源,半導體業,
2446,全懋,半導體業,
3063,飛信,半導體業,
911626,MSH-DR,存託憑證,
9801,力霸,貿易百貨,
2341,英群,電子工業,
2341,英群,電腦及週邊設備業,
3584,介面,光電業,
6951,青新-創,創新版股票,
6949,沛爾生醫-創,創新版股票,
6280,崇貿,電子工業,
6286,立錡,半導體業,
6286,立錡,電子工業,
9188,精熙-DR,存託憑證,
6255,奈普,電子工業,
00906,大華元宇宙科技50,ETF,
3271,其樂達,電子工業,
3271,其樂達,半導體業,
2350,環電,電子工業,
2361,鴻友,電子工業,
3584,介面,電子工業,
2361,鴻友,電腦及週邊設備業,
3214,元砷,電子工業,
916665,爾必達,存託憑證,
6423,億而得-創,創新版股票,
6924,榮惠-KY創,創新版股票,
2350,環電,其他電子業,
6255,奈普,光電業,
3367,英華達,其他電子業,
2336,致伸,電腦及週邊設備業,
3534,雷凌,電子工業,
3534,雷凌,半導體業,
0060,新台灣,ETF,
3573,穎台,光電業,
0081,恒香港,ETF,
0080,恒中國,ETF,
5280,F-敦泰,半導體業,
5280,F-敦泰,電子工業,
9922,優美,其他,
3474,華亞科,電子工業,
00866,新光Shiller CAPE,ETF,
3474,華亞科,半導體業,
9915,億豐,其他,
3573,穎台,電子工業,
2254,巨鎧精密-創,創新版股票,
2258,鴻華先進-創,創新版股票,
6988,威力暘-創,創新版股票,
2315,神達,電子工業,
2315,神達,電腦及週邊設備業,
6969,成信實業*-創,創新版股票,
1520,復盛,其他,
2336,致伸,電子工業,
3367,英華達,電子工業,
911622,泰聚亨-DR,存託憑證,
2381,華宇,電子工業,
9157,陽光能源-DR,存託憑證,
3598,奕力,半導體業,
3063,飛信,電子工業,
2381,華宇,電腦及週邊設備業,
910861,神州-DR,存託憑證,
8162,微矽電子-創,創新版股票,
6854,錼創科技-KY創,創新版股票,
8487,愛爾達-創,創新版股票,
3061,璨圓,電子工業,
2418,雅新,電子工業,
3061,璨圓,光電業,
3009,奇美電,光電業,
9136,巨騰-DR,存託憑證,
912398,友佳-DR,存託憑證,
3638,F-IML,半導體業,
3053,鼎營,電子工業,
3053,鼎營,其他電子業,
6534,正瀚-創,創新版股票,
3009,奇美電,電子工業,
3020,奇普仕,電子通路業,
912000,晨訊科-DR,存託憑證,
3020,奇普仕,電子工業,
2432,倚天酷碁-創,創新版股票,
2411,飛瑞,電子工業,
2411,飛瑞,其他電子業,
3080,威力盟,光電業,
2403,友尚,電子通路業,
2384,勝華,光電業,
3598,奕力,電子工業,
2384,勝華,電子工業,
9151,旺旺,存託憑證,
2391,合勤,通信網路業,
3150,鈺寶-創,創新版股票,
3599,旺能,光電業,
3142,遠茂,電子工業,
2391,合勤,電子工業,
913889,大成糖,存託憑證,
3638,F-IML,電子工業,
3599,旺能,電子工業,
2396,精碟,光電業,
2396,精碟,電子工業,
3614,誠致,半導體業,
8199,廣鎵,電子工業,
8199,廣鎵,光電業,
6902,GOGOLOOK-創,創新版股票,
2403,友尚,電子工業,
3080,威力盟,電子工業,
3614,誠致,電子工業,
3007,綠點,電子工業,
911868,同方友友-DR,存託憑證,
6457,紘康,半導體業,
00694B,富邦美債1-3,上櫃指數股票型基金(ETF),
00679B,元大美債20年,上櫃指數股票型基金(ETF),
00696B,富邦美債20年,上櫃指數股票型基金(ETF),
00695B,富邦美債7-10,上櫃指數股票型基金(ETF),
00687B,國泰20年美債,上櫃指數股票型基金(ETF),
006201,元大富櫃50,上櫃指數股票型基金(ETF),
00697B,元大美債7-10,上櫃指數股票型基金(ETF),
00955,中信日本商社,上櫃指數股票型基金(ETF),
00877,復華中國5G,上櫃指數股票型基金(ETF),
00937B,群益ESG投等債20+,上櫃指數股票型基金(ETF),
00794B,群益7+中國政金債,上櫃指數股票型基金(ETF),
00846B,富邦歐洲銀行債,上櫃指數股票型基金(ETF),
00942B,台新美A公司債20+,上櫃指數股票型基金(ETF),
00773B,中信優先金融債,上櫃指數股票型基金(ETF),
00840B,凱基IG精選15+,上櫃指數股票型基金(ETF),
00948B,中信優息投資級債,上櫃指數股票型基金(ETF),
00950B,凱基A級公司債,上櫃指數股票型基金(ETF),
00772B,中信高評級公司債,上櫃指數股票型基金(ETF),
00845B,富邦新興投等債,上櫃指數股票型基金(ETF),
00790B,復華次順位金融債,上櫃指數股票型基金(ETF),
00957B,兆豐US優選投等債,上櫃指數股票型基金(ETF),
00958B,永豐ESG銀行債15+,上櫃指數股票型基金(ETF),
00959B,大華投等美債15Y+,上櫃指數股票型基金(ETF),
00966B,統一ESG投等債15+,上櫃指數股票型基金(ETF),
00967B,元大優息美債,上櫃指數股票型基金(ETF),
00968B,元大優息投等債,上櫃指數股票型基金(ETF),
00969B,元大零息超長美債,上櫃指數股票型基金(ETF),
00970B,新光BBB投等債20+,上櫃指數股票型基金(ETF),
00764B,群益25年美債,上櫃指數股票型基金(ETF),
00870B,元大15年EM主權債,上櫃指數股票型基金(ETF),
00761B,國泰A級公司債,上櫃指數股票型基金(ETF),
00760B,復華新興企業債,上櫃指數股票型基金(ETF),
00841B,凱基AAA-AA公司債,上櫃指數股票型基金(ETF),
00856B,永豐1-3年美公債,上櫃指數股票型基金(ETF),
00933B,國泰10Y+金融債,上櫃指數股票型基金(ETF),
00759B,復華製藥債,上櫃指數股票型基金(ETF),
00931B,統一美債20年,上櫃指數股票型基金(ETF),
00778B,凱基金融債20+,上櫃指數股票型基金(ETF),
00883B,中信ESG投資級債,上櫃指數股票型基金(ETF),
00884B,中信低碳新興債,上櫃指數股票型基金(ETF),
00791B,復華信用債1-5,上櫃指數股票型基金(ETF),
00787B,元大10年IG醫療債,上櫃指數股票型基金(ETF),
00886,永豐美國科技,上櫃指數股票型基金(ETF),
00786B,元大10年IG銀行債,上櫃指數股票型基金(ETF),
00792B,群益A級公司債,上櫃指數股票型基金(ETF),
00887,永豐中國科技50大,上櫃指數股票型基金(ETF),
00888,永豐台灣ESG,上櫃指數股票型基金(ETF),
00890B,凱基ESG BBB債15+,上櫃指數股票型基金(ETF),
00785B,富邦金融投等債,上櫃指數股票型基金(ETF),
00849B,中信EM主權債0-5,上櫃指數股票型基金(ETF),
00848B,中信新興亞洲債,上櫃指數股票型基金(ETF),
00788B,元大10年IG電能債,上櫃指數股票型基金(ETF),
00784B,富邦中國投等債,上櫃指數股票型基金(ETF),
00793B,群益AAA-A醫療債,上櫃指數股票型基金(ETF),
00789B,復華公司債A3,上櫃指數股票型基金(ETF),
00847B,中信美國市政債,上櫃指數股票型基金(ETF),
00782B,國泰A級公用債,上櫃指數股票型基金(ETF),
00781B,國泰A級科技債,上櫃指數股票型基金(ETF),
00836B,永豐10年A公司債,上櫃指數股票型基金(ETF),
00853B,統一美債10年Aa-A,上櫃指數股票型基金(ETF),
00780B,國泰A級金融債,上櫃指數股票型基金(ETF),
00779B,凱基美債25+,上櫃指數股票型基金(ETF),
00928,中信上櫃ESG 30,上櫃指數股票型基金(ETF),
00777B,凱基AAA至A公司債,上櫃指數股票型基金(ETF),
00758B,復華能源債,上櫃指數股票型基金(ETF),
00768B,復華20年美債,上櫃指數股票型基金(ETF),
00724B,群益投資級金融債,上櫃指數股票型基金(ETF),
00746B,富邦A級公司債,上櫃指數股票型基金(ETF),
00858,永豐美國500大,上櫃指數股票型基金(ETF),
00741B,富邦全球非投等債,上櫃指數股票型基金(ETF),
00740B,富邦全球投等債,上櫃指數股票型基金(ETF),
00734B,台新JPM新興債,上櫃指數股票型基金(ETF),
00727B,國泰優選非投等債,上櫃指數股票型基金(ETF),
00864B,中信美國公債0-1,上櫃指數股票型基金(ETF),
00726B,國泰新興投等債,上櫃指數股票型基金(ETF),
00725B,國泰投資級公司債,上櫃指數股票型基金(ETF),
00749B,凱基新興債10+,上櫃指數股票型基金(ETF),
00723B,群益投資級科技債,上櫃指數股票型基金(ETF),
00859B,群益0-1年美債,上櫃指數股票型基金(ETF),
00863B,中信全球電信債,上櫃指數股票型基金(ETF),
00720B,元大投資級公司債,上櫃指數股票型基金(ETF),
00719B,元大美債1-3,上櫃指數股票型基金(ETF),
00718B,富邦中國政策債,上櫃指數股票型基金(ETF),
00862B,中信投資級公司債,上櫃指數股票型基金(ETF),
00860B,群益1-5Y投資級債,上櫃指數股票型基金(ETF),
00799B,國泰A級醫療債,上櫃指數股票型基金(ETF),
00842B,台新美元銀行債,上櫃指數股票型基金(ETF),
00722B,群益投資級電信債,上櫃指數股票型基金(ETF),
00750B,凱基科技債10+,上櫃指數股票型基金(ETF),
00834B,第一金金融債10+,上櫃指數股票型基金(ETF),
00754B,群益AAA-AA公司債,上櫃指數股票型基金(ETF),
00857B,永豐20年美公債,上櫃指數股票型基金(ETF),
00756B,群益投等新興公債,上櫃指數股票型基金(ETF),
00751B,元大AAA至A公司債,上櫃指數股票型基金(ETF),
00795B,中信美國公債20年,上櫃指數股票型基金(ETF),
00844B,新光15年IG金融債,上櫃指數股票型基金(ETF),
00755B,群益投資級公用債,上櫃指數股票型基金(ETF),
00867B,新光A-BBB電信債,上櫃指數股票型基金(ETF),
7732,金興精密,電機機械,
7714,創泓科技,數位雲端,
7715,裕山,綠能環保,
6994,富威電力,綠能環保,
6931,青松健康,生技醫療業,
4749,新應材,光電業,
6495,納諾*-KY,化學工業,
7713,威力德生醫,生技醫療業,
7734,印能科技,半導體業,
7709,榮田,電機機械,
7728,光焱科技,其他電子業,
6872,浩宇生醫,生技醫療業,
7631,聚賢研發,其他電子業,
2248,華勝-KY,電機機械,
7718,友鋮,鋼鐵工業,
7736,虎山,電機機械,
020016,統一MSCI美科技N,ETN,
020015,統一MSCI美低波N,ETN,
3467,台灣精材,半導體業,
3202,樺晟,電子零組件業,
00790B,復華次順位金融債,上櫃ETF,
00784B,富邦中國投等債,上櫃ETF,
6936,永鴻生技,農業科技,
7723,築間,觀光餐旅,
1716,永信,生技醫療業,
6597,立誠,電子零組件業,
6626,唯數,文化創意業,
2437,旺詮,電子工業,
6902,GOGOLOOK-創,創新板股票,
6498,久禾光,光電業,
7743,金利食安,食品工業,
7642,昶瑞機電,電機機械,
6909,創控,半導體業,
7805,威聯通,電腦及週邊設備業,
7555,美萌,生技醫療業,
1295,生合,食品工業,
1585,鎧鉅,電子零組件業,
6925,意藍,數位雲端,
6944,兆聯實業,綠能環保,
6187,萬潤,其他電子類,
5314,世紀*,半導體業,
3521,鴻翊,電腦及週邊設備業,
2724,藝舍-KY,觀光餐旅,
6829,千附精密,電機機械,
4950,金耘國際,其他,
6240,松崗,其他,
8383,千附,其他電子類,
6208,日揚,電子零組件業,
5443,均豪,光電業,
5348,正能量智能,通信網路業,
00925,新光標普電動車,ETF,
6918,愛派司,生技醫療業,
7740,熙特爾,綠能環保,
00718B,富邦中國政策債,上櫃ETF,
6287,元隆,半導體業,
7747,昕奇雲端,數位雲端,
6589,台康生技,生技醫療業,
5277,葳天,光電業,
020018,統一價值成長30N,ETN,
7547,碩網,數位雲端,
020019,統一特選台灣5GN,ETN,
7721,微程式,數位雲端,
3135,凌航,半導體業,
7753,星亞,光電業,
4166,友霖,生技醫療業,
00794B,群益7+中國政金債,上櫃ETF,
7751,竑騰,半導體業,
4945,陞達科技,半導體業,
7765,中華資安,數位雲端,
7610,聯友金屬,綠能環保,
7780,大研生醫,食品工業,
4441,振大環球,紡織纖維,
7860,得生製藥,化學生技醫療,
7799,禾榮科,生技醫療業,
7750,新代,電機機械,
2750,桃禧,觀光餐旅,
4585,達明,其他電子業,
8497,格威傳媒,其他,
6971,惠民實業,綠能環保,
7738,東聯互動,數位雲端,
7788,松川精密,電子零組件業,
6794,向榮生技-創,創新板股票,
7757,金色三麥,觀光餐旅,
7716,昱臺國際,航運業,
7782,光速火箭,居家生活,
7791,皇家可口,食品工業,
7730,暉盛,半導體業,
6699,奇邑,半導體業,
2888A,新光金甲特,金融保險,
2888B,新光金乙特,金融保險,
2897A,王道銀甲特,金融保險,
3158,嘉實,資訊服務業,
7786,東方風能,綠能環保,
7711,永擎,電腦及週邊設備業,
6831,邁科,電腦及週邊設備業,
6474,華豫寧,電子通路業,
6614,資拓宏宇,數位雲端,
7744,崴寶,電子零組件業,
7769,鴻勁,半導體業,
6747,亨泰光,生技醫療業,
02001S,策元大加權策略N,ETN,
020023,元大櫃買半導體N,指數投資證券(ETN),
7767,仁大資訊,資訊服務業,
6730,常廣,生技醫療業,
6910,德鴻,數位雲端,
7770,君曜,半導體業,
6288,聯嘉,汽車工業,
6884,海柏特,資訊服務業,
7777,能率亞洲,其他,
7805,威聯通,數位雲端,
8102,傑霖科技,半導體業,
1613,台一,電器電纜,
7810,捷創科技,半導體業,
6272,驊陞,電子零組件業,
6764,亞洲教育,其他,
6620,漢達,生技醫療業,
02001B,統一美國政府債N,指數投資證券(ETN),
6725,矽科宏晟,其他電子業,
3315,宣昶,電子工業,
3559,全智科,電子工業,
6403,群登,通信網路業,
6722,輝創,其他電子業,
7795,長廣,電子零組件業,
6961,旅天下,觀光餐旅,
7893,睿信,電子工業,
6423,億而得-創,創新板股票,
